Name,1,2,3,4,5,6,7,8,9,10,11,12,Total
Pennsylvania State University-Penn State Lehigh Valley,1,12,79,0,16,0,0,0,0,21,0,0,129
Pennsylvania State University-Penn State Altoona,64,34,38,5,11,1,0,31,5,33,3,0,225
Pennsylvania State University-Penn State Beaver,0,13,46,0,6,0,1,0,3,6,0,0,75
Pennsylvania State University-Penn State Berks,77,62,83,1,31,0,0,19,15,35,1,4,328
Pennsylvania State University-Penn State Harrisburg,250,108,222,20,49,6,1,106,28,93,0,0,883
Pennsylvania State University-Penn State Brandywine,8,32,47,0,17,0,3,0,26,21,0,0,154
Pennsylvania State University-Penn State DuBois,36,7,17,0,0,0,0,0,0,2,0,0,62
Pennsylvania State University-Penn State Fayette- Eberly,16,0,31,0,0,0,0,0,1,7,0,0,55
Pennsylvania State University-Penn State Hazleton,4,9,41,0,0,0,0,0,0,12,0,0,66
Pennsylvania State University-Main Campus,2074,1507,2734,898,823,324,404,539,909,783,289,160,11444
Pennsylvania State University-Penn State Greater Allegheny,0,12,31,0,3,0,0,0,3,13,0,0,62
Pennsylvania State University-Penn State Mont Alto,0,13,22,0,0,0,0,0,0,12,1,0,48
Pennsylvania State University-Penn State Abington,2,62,157,0,29,1,0,10,0,84,12,0,357
Pennsylvania State University-Penn State Schuylkill,0,0,30,0,5,0,0,0,0,29,0,0,64
Pennsylvania State University-Penn State York,18,19,28,1,9,0,0,3,2,10,0,0,90
Peirce College,0,33,119,0,0,0,0,0,0,31,0,0,183
Pennsylvania Academy of the Fine Arts,0,0,0,0,0,0,0,0,0,0,66,0,66
Pennsylvania College of Art and Design,0,0,0,0,0,0,0,0,0,0,44,0,44
University of Pennsylvania,613,973,2176,644,586,289,243,640,84,892,118,124,7382
The University of the Arts,0,0,0,0,0,0,0,49,0,7,345,0,401
Cairn University-Langhorne,0,3,57,0,1,1,0,76,0,47,20,0,205
University of Pittsburgh-Bradford,4,19,32,18,16,3,7,18,2,28,1,0,148
University of Pittsburgh-Greensburg,0,10,38,13,46,4,1,20,2,57,0,2,193
University of Pittsburgh-Johnstown,134,40,81,27,36,6,20,56,6,73,2,0,481
University of Pittsburgh-Pittsburgh Campus,1077,649,1426,702,890,140,235,317,196,1533,108,258,7531
Pittsburgh Technical College,171,94,112,0,0,0,0,0,0,0,0,0,377
Point Park University,35,19,201,11,8,0,0,273,50,53,219,0,869
Robert Morris University,77,62,501,20,27,26,0,32,29,51,16,0,841
Rosemont College,0,0,90,23,5,2,0,18,9,50,4,0,201
Saint Francis University,12,11,142,3,34,2,5,44,10,13,0,0,276
Saint Joseph's University,0,32,1173,186,214,5,30,485,67,182,22,25,2421
Saint Vincent College,15,13,102,51,40,11,11,47,25,54,16,0,385
University of Scranton,16,14,494,46,142,8,20,47,41,128,1,5,962
Seton Hill University,0,24,161,12,23,21,5,73,6,43,42,1,411
Shippensburg University of Pennsylvania,50,16,478,76,84,13,13,207,48,205,23,26,1239
Slippery Rock University of Pennsylvania,176,78,244,97,45,45,39,389,81,258,50,12,1514
