Name,1,2,3,4,5,6,7,8,9,10,11,12,Total
Angelo State University,27,107,347,123,52,43,25,316,39,225,30,1,1335
Arlington Baptist University,0,0,5,0,0,0,0,4,0,10,0,0,19
Austin College,0,9,71,44,43,11,13,16,19,79,12,18,335
Austin Community College District,642,1708,1551,139,59,30,33,97,92,2058,607,175,7191
Baptist Missionary Association Theological Seminary,0,0,0,0,0,0,0,0,0,0,0,0,0
Baylor University,133,60,1517,240,392,68,84,284,262,364,184,39,3627
Remington College-Dallas Campus,0,0,10,0,0,0,0,0,0,0,0,0,10
Brazosport College,189,16,75,0,0,0,0,4,0,239,0,0,523
Concordia University Texas,0,9,160,16,8,0,1,145,9,63,0,0,411
Texas A & M University-Corpus Christi,88,72,1026,20,198,14,36,77,70,183,84,9,1877
Dallas Baptist University,0,42,304,21,62,8,0,114,53,105,48,6,763
Dallas Christian College,0,0,11,0,0,0,0,0,0,11,0,0,22
University of Dallas,0,88,246,63,42,6,7,16,0,119,17,16,620
Del Mar College,202,0,271,2,16,5,10,7,20,214,22,22,791
East Texas Baptist University,0,0,79,3,17,1,2,54,35,33,3,0,227
Texas A&M University-Texarkana,19,12,130,13,32,3,2,46,5,88,0,0,350
Texas A & M University-Commerce,64,208,839,79,68,47,52,424,6,293,129,65,2274
Dallas College,509,1109,2528,27,2,1,0,296,13,5278,182,0,9945
Galveston College,29,24,0,0,0,0,0,0,0,204,0,0,257
Grayson College,65,41,260,0,7,0,0,50,0,635,9,0,1067
Hallmark University,0,123,65,0,0,0,0,0,0,0,0,0,188
Hardin-Simmons University,0,7,99,6,27,2,4,46,11,37,25,0,264
Trinity Valley Community College,74,17,50,0,0,0,0,34,0,707,1,0,883
Houston Baptist University,7,4,195,2,57,1,3,111,4,125,47,5,561
University of Houston-Clear Lake,152,128,637,91,151,32,27,76,36,302,50,0,1682
University of Houston-Downtown,56,118,1903,75,75,22,45,35,108,402,31,19,2889
University of Houston-Victoria,0,71,584,8,30,8,0,90,43,194,5,5,1038
University of Houston,1268,709,2811,540,646,216,182,273,428,986,343,55,8457
Howard Payne University,2,1,35,15,7,0,1,22,5,15,4,2,109
Huston-Tillotson University,0,6,47,9,10,5,3,26,6,78,5,0,195
University of the Incarnate Word,9,15,770,25,123,6,12,55,43,139,54,4,1255
Jarvis Christian University,0,0,36,0,9,0,1,11,0,0,0,0,57
Lamar University,323,214,718,56,47,19,25,2718,53,585,58,19,4835
Laredo College,232,77,148,0,0,0,0,0,0,1025,0,0,1482
Texas A & M International University,47,13,431,63,131,40,10,194,30,267,22,20,1268
LeTourneau University,100,12,85,8,4,2,5,49,4,47,0,0,316
Lubbock Christian University,0,6,39,4,25,3,3,50,13,59,15,0,217
College of the Mainland,9,20,76,0,0,1,0,13,0,292,15,0,426
University of Mary Hardin-Baylor,14,33,151,13,49,1,3,99,16,109,32,2,522
McMurry University,0,6,49,16,13,4,6,30,0,16,12,1,153
Midland College,156,50,200,0,0,0,0,20,0,258,0,0,684
Midwestern State University,22,27,194,16,71,4,25,85,27,98,41,8,618
Lone Star College System,448,553,1638,56,18,0,0,374,39,6328,22,53,9529
University of North Texas,486,777,2328,365,469,176,87,861,740,1553,792,105,8739
Odessa College,136,19,348,19,33,0,2,99,1,481,45,1,1184
Our Lady of the Lake University,0,16,168,9,20,0,0,37,5,77,2,4,338
The University of Texas Rio Grande Valley,427,150,915,187,657,77,69,572,159,768,207,59,4247
Paul Quinn College,0,0,26,2,0,0,0,1,4,26,0,0,59
Prairie View A & M University,223,53,283,37,65,6,19,60,57,165,30,0,998
Rice University,392,197,631,239,153,137,122,6,0,229,139,35,2280
Saint Edward's University,0,27,306,54,72,15,7,20,78,144,68,4,795
Sam Houston State University,121,66,927,149,136,28,59,596,213,571,221,15,3102
San Antonio College,1,246,218,0,0,0,0,85,5,2164,144,30,2893
San Jacinto Community College,548,364,1332,0,0,124,31,297,0,1821,164,0,4681
Schreiner University,4,12,53,4,19,5,5,48,6,28,15,0,199
St. Mary's University,57,27,164,65,59,14,8,7,24,99,12,4,540
Southern Methodist University,386,219,1232,258,120,242,37,254,220,312,196,42,3518
Southwestern Assemblies of God University,0,0,93,1,0,1,0,39,6,160,9,0,309
Southwestern University,0,14,60,61,40,14,13,26,20,82,40,10,380
Stephen F Austin State University,15,54,509,51,75,23,34,211,82,202,252,15,1523
Texas State University,417,371,1430,402,390,72,55,599,777,1166,540,60,6279
Southwestern Adventist University,0,4,14,2,10,1,2,20,4,26,3,0,86
Southwestern Christian College,0,0,0,0,0,0,0,0,0,19,0,0,19
Sul Ross State University,2,4,97,6,26,7,13,114,0,100,4,5,378
Tarleton State University,141,78,747,18,83,16,19,180,86,345,53,7,1773
Texas A & M University-Kingsville,324,104,214,43,86,10,22,80,16,101,53,4,1057
Texas A & M University-College Station,4266,765,3464,1099,1644,362,368,858,722,1194,17,48,14807
The University of Texas at Arlington,1088,751,1945,157,394,102,113,1125,387,734,285,213,7294
The University of Texas at Austin,1973,1416,2695,1123,1326,782,396,242,1329,1740,623,896,14541
The University of Texas at Dallas,979,1562,2154,252,859,241,126,7,0,418,353,51,7002
The University of Texas at El Paso,685,182,812,152,413,54,70,382,181,498,137,46,3612
The University of Texas at Tyler,244,76,660,41,87,12,12,186,37,246,24,3,1628
Texas Christian University,41,89,969,237,122,23,37,200,374,301,165,20,2578
Texas College,0,2,14,4,15,2,0,1,0,22,0,0,60
Texas Lutheran University,5,9,81,15,19,6,6,39,6,23,24,1,234
The University of Texas Permian Basin,109,73,499,59,40,12,29,177,34,187,24,11,1254
The University of Texas at San Antonio,618,721,1498,343,435,106,121,471,313,978,138,60,5802
Texas Southern University,60,23,239,45,99,10,17,34,108,172,24,0,831
Texas Tech University,964,296,2309,354,746,111,122,737,936,829,259,88,7751
Texas Wesleyan University,0,12,140,18,16,0,0,83,17,76,22,2,386
Texas Woman's University,0,63,737,93,126,15,10,290,0,446,132,0,1912
Trinity University,29,33,213,112,80,21,11,37,37,107,22,39,741
Tyler Junior College,85,86,309,10,20,4,5,81,22,660,100,14,1396
Wayland Baptist University,0,9,389,3,8,5,0,94,2,318,8,2,838
Weatherford College,0,14,16,0,0,0,0,18,0,397,0,0,445
West Texas A & M University,74,45,727,21,86,11,18,83,52,285,83,3,1488
Wiley College,0,0,41,4,7,0,0,2,1,1,0,0,56
Brigham Young University,626,519,1343,451,843,252,122,487,408,708,331,302,6392
Brigham Young University-Hawaii,0,39,211,42,44,8,0,72,27,105,40,0,588
Utah Tech University,89,102,330,27,81,32,4,45,112,1539,135,6,2502
Ensign College,0,102,764,0,0,0,0,0,0,310,99,0,1275
Snow College,81,48,153,24,12,4,10,97,39,328,96,1,893
Southern Utah University,57,50,481,81,97,13,24,265,116,2473,163,16,3836
Utah State University,489,221,692,689,193,53,46,549,151,1344,105,26,4558
Utah Valley University,454,3027,2577,209,307,37,35,478,191,5656,1016,46,14033
University of Utah,866,822,1474,907,330,165,226,219,341,926,413,68,6757
Weber State University,246,698,720,56,119,43,26,229,151,1765,88,139,4280
Bennington College,1,12,0,26,5,2,1,1,4,91,102,17,262
Castleton University,0,1,121,15,20,5,0,22,9,50,15,0,258
Champlain College,0,620,595,0,0,0,0,29,21,60,128,0,1453
Goddard College,0,0,0,0,0,0,0,33,0,74,28,0,135
Northern Vermont University,0,12,61,7,11,4,18,43,9,141,55,0,361
Middlebury College,0,53,0,250,115,27,37,33,0,218,49,118,900
Norwich University,66,126,186,92,22,4,5,15,8,140,0,4,668
Saint Michael's College,2,9,95,58,70,6,4,89,16,118,14,5,486
Vermont Technical College,90,13,44,0,0,0,0,0,0,0,0,0,147
University of Vermont,249,109,314,249,350,78,42,269,50,310,69,41,2130
Averett University,0,12,119,10,2,0,0,65,9,13,3,0,233
Bluefield University,0,3,59,0,95,1,2,26,3,27,6,0,222
Bridgewater College,0,7,77,27,42,7,14,0,22,73,17,6,292
William & Mary,0,109,713,407,253,140,146,244,0,482,42,72,2608
Regent University,1,31,376,52,0,5,0,505,116,310,97,0,1493
Christopher Newport University,22,80,207,160,163,24,33,47,89,243,59,15,1142
Bryant & Stratton College-Virginia Beach,0,14,63,0,0,0,0,12,0,0,0,0,89
Emory & Henry College,0,0,36,27,12,1,5,51,10,40,14,1,197
Eastern Mennonite University,2,14,59,14,18,8,1,74,3,53,8,2,256
Ferrum College,0,5,21,4,13,1,3,22,0,18,2,1,90
George Mason University,497,1107,1613,739,575,93,128,1079,181,1338,340,36,7726
Hampden-Sydney College,5,5,50,74,24,6,13,0,0,60,6,4,247
Hampton University,20,6,160,34,73,2,10,46,64,133,14,0,562
Hollins University,0,0,15,22,13,5,1,15,8,86,41,10,216
James Madison University,67,273,807,421,227,56,83,446,409,736,290,44,3859
Liberty University,99,263,4653,374,505,50,15,4107,507,4098,505,37,15213
Longwood University,0,12,337,76,28,9,13,217,64,161,46,2,965
University of Lynchburg,0,16,88,64,69,14,9,67,17,45,23,0,412
Centra College,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Baldwin University,0,0,82,42,17,5,0,74,0,127,48,0,395
University of Mary Washington,0,63,182,194,92,21,60,119,8,339,61,27,1166
Marymount University,0,169,160,36,32,2,0,49,12,135,58,0,653
Norfolk State University,46,65,85,98,55,8,13,37,54,89,45,0,595
Old Dominion University,625,319,580,424,218,36,64,691,6,707,79,17,3766
Radford University,0,102,264,83,66,7,26,253,106,220,125,2,1254
Randolph-Macon College,5,22,73,58,62,4,14,0,35,58,14,15,360
Randolph College,3,0,6,13,21,5,6,18,4,27,11,3,117
University of Richmond,0,38,426,120,76,18,24,54,14,149,12,11,942
Riverside College of Health Careers,0,0,0,0,0,0,0,0,0,0,0,0,0
Roanoke College,0,10,78,35,47,14,14,38,33,80,16,9,374
Shenandoah University,0,25,157,13,94,5,7,107,9,50,112,5,584
Southeastern Free Will Baptist Bible College,0,0,0,0,0,0,0,5,0,0,0,0,5
Southern Virginia University,0,4,42,2,29,1,0,0,0,65,18,2,163
Sweet Briar College,6,0,7,7,16,2,3,4,0,18,7,0,70
University of Virginia's College at Wise,5,6,34,55,0,1,0,0,0,91,0,0,192
Virginia Polytechnic Institute and State University,2135,727,1809,710,681,149,212,253,223,483,182,75,7639
Virginia Commonwealth University,322,352,925,365,563,80,136,701,221,874,633,20,5192
University of Virginia-Main Campus,761,401,1190,989,387,190,236,497,16,2112,120,161,7060
Virginia Military Institute,104,24,0,88,31,16,16,0,0,95,0,20,394
Virginia University of Lynchburg,0,0,297,3,0,0,0,0,0,2,0,0,302
Virginia State University,48,25,120,47,31,9,7,95,45,100,16,0,543
Virginia Union University,0,3,39,25,18,3,4,23,11,18,6,0,150
Virginia Wesleyan University,0,0,66,22,20,8,6,19,4,52,15,5,217
Washington and Lee University,16,15,131,148,52,26,23,0,22,81,19,35,568
Bellevue College,22,267,431,0,14,0,38,88,0,1255,72,4,2191
Bellingham Technical College,93,74,119,0,0,0,0,0,0,6,0,0,292
Big Bend Community College,3,25,24,0,0,0,2,191,0,321,0,0,566
Central Washington University,92,206,603,231,65,9,41,519,59,321,165,30,2341
Centralia College,5,10,65,0,4,0,1,45,0,249,0,0,379
Clark College,92,81,214,0,65,0,28,28,0,842,5,0,1355
Clover Park Technical College,182,644,112,0,0,0,0,70,0,29,27,0,1064
Columbia Basin College,20,70,197,0,0,0,6,189,0,879,0,40,1401
Cornish College of the Arts,0,0,0,0,0,0,0,0,0,0,112,0,112
Eastern Washington University,154,137,699,181,227,18,39,632,145,392,126,12,2762
Edmonds College,29,161,422,0,27,0,36,13,0,395,3,0,1086
The Evergreen State College,0,0,0,0,0,0,0,55,0,422,0,0,477
Pierce College District,6,108,258,0,34,0,44,102,0,1204,3,0,1759
Gonzaga University,127,44,633,170,165,28,9,136,154,176,14,24,1680
Grays Harbor College,0,0,50,0,1,0,7,52,0,162,4,0,276
Green River College,12,329,261,16,0,0,46,49,0,757,0,0,1470
Heritage University,0,2,33,1,12,0,0,75,0,23,0,0,146
Highline College,5,62,149,0,19,0,36,88,2,509,27,0,897
Lake Washington Institute of Technology,99,206,198,0,4,0,0,454,0,21,21,0,1003
Lower Columbia College,5,4,21,0,6,0,3,29,0,277,5,0,350
North Seattle College,35,82,155,0,0,0,24,260,0,226,9,0,791
Northwest University,0,0,89,3,22,4,0,93,11,71,7,0,300
Olympic College,1473,35,205,3,0,0,5,317,0,730,4,0,2772
Pacific Lutheran University,0,26,108,59,38,13,36,77,21,102,35,12,527
Peninsula College,0,37,65,0,0,0,0,38,0,220,0,0,360
University of Puget Sound,3,26,65,114,50,15,21,45,29,93,20,37,518
Renton Technical College,17,62,64,0,0,0,0,107,0,4,0,0,254
Saint Martin's University,61,172,75,15,11,3,4,54,11,43,2,0,451
South Seattle College,37,4,142,0,0,0,32,3,0,205,0,0,423
Seattle Central College,0,159,89,0,0,0,63,3,0,353,48,0,715
Seattle Pacific University,36,55,95,67,69,5,4,488,31,236,68,4,1158
Seattle University,103,164,619,59,103,45,18,133,54,222,80,10,1610
Skagit Valley College,27,51,59,0,22,0,28,163,4,324,3,0,681
Spokane Community College,94,215,234,0,12,0,7,0,0,475,0,0,1037
Spokane Falls Community College,16,52,100,0,23,0,5,278,2,677,44,10,1207
Tacoma Community College,32,192,545,0,20,0,5,125,0,624,7,0,1550
Walla Walla Community College,0,13,125,0,5,0,4,11,0,196,0,0,354
Walla Walla University,34,11,47,1,24,5,1,41,17,37,25,8,251
Washington State University,905,232,2210,701,610,79,199,661,696,842,115,31,7281
University of Washington-Seattle Campus,1604,1780,1467,1366,1308,583,543,656,457,1322,372,246,11704
Wenatchee Valley College,8,17,56,0,0,0,17,191,0,505,9,0,803
Western Washington University,69,184,486,410,191,56,133,367,149,600,222,136,3003
Whatcom Community College,9,362,305,0,0,0,8,112,0,484,0,0,1280
Whitman College,1,16,0,86,58,14,30,0,0,115,35,29,384
Whitworth University,0,28,95,83,27,28,48,176,28,106,39,17,675
Yakima Valley College,1,49,105,0,0,0,2,181,0,427,0,18,783
Alderson Broaddus University,0,9,25,1,11,1,2,9,4,15,0,0,77
Appalachian Bible College,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluefield State University,53,3,18,7,0,0,0,7,0,25,0,0,113
University of Charleston,0,0,633,11,21,0,2,8,4,25,0,0,704
Concord University,0,8,51,26,35,2,10,68,13,93,14,0,320
Davis & Elkins College,0,0,30,16,7,2,1,9,0,22,4,0,91
Fairmont State University,60,25,98,65,18,11,0,116,8,104,10,8,523
Glenville State University,8,0,39,0,8,0,1,17,0,149,11,0,233
Marshall University,68,45,414,64,108,12,31,367,25,431,51,5,1621
West Virginia University at Parkersburg,37,15,121,0,0,0,0,14,6,188,0,0,381
Potomac State College of West Virginia University,7,6,36,0,0,0,0,17,1,184,0,0,251
Shepherd University,3,40,104,32,31,3,11,84,14,130,35,2,489
West Virginia State University,0,10,65,14,12,3,1,59,20,88,7,0,279
West Liberty University,0,0,174,16,41,0,3,71,12,54,22,0,393
West Virginia University Institute of Technology,48,18,31,4,24,0,0,0,0,34,0,0,159
West Virginia Wesleyan College,0,9,45,8,19,5,16,10,1,45,16,0,174
West Virginia University,840,121,981,330,423,38,102,373,444,454,217,40,4363
Wheeling University,3,0,48,0,3,0,0,19,2,9,0,0,84
Alverno College,0,0,32,4,11,0,2,162,1,108,5,3,328
Bellin College,0,0,0,0,0,0,0,0,0,0,0,0,0
Beloit College,0,12,21,55,12,6,29,11,10,53,21,18,248
Cardinal Stritch University,0,2,127,7,9,2,2,136,3,45,5,8,346
Carroll University,4,19,115,18,76,2,10,121,11,63,5,7,451
Carthage College,0,11,189,55,55,6,23,72,35,77,56,14,593
Concordia University-Wisconsin,10,24,366,4,45,1,1,227,6,49,12,12,757
Edgewood College,0,12,79,10,33,1,8,107,18,30,17,4,319
Lakeland University,0,42,463,15,5,7,0,39,8,32,17,0,628
Lawrence University,0,12,0,64,57,12,18,11,0,86,91,21,372
Maranatha Baptist University,0,1,36,0,2,3,0,54,4,24,9,0,133
Marquette University,309,108,795,278,361,26,12,143,168,273,50,31,2554
Milwaukee Institute of Art & Design,0,0,0,0,0,0,0,0,0,0,169,0,169
Milwaukee School of Engineering,423,52,98,0,0,0,0,0,0,0,0,0,573
Mount Mary University,0,0,13,5,9,1,1,32,11,58,12,2,144
Northland College,1,0,12,7,21,5,13,10,0,16,1,0,86
Ripon College,0,2,15,26,15,4,15,18,12,35,11,3,156
Saint Norbert College,0,12,185,72,53,4,12,76,42,78,12,90,636
Viterbo University,6,0,139,0,16,2,0,457,0,23,21,20,684
University of Wisconsin-Whitewater,50,77,1282,267,87,35,17,503,145,527,149,23,3162
University of Wisconsin-Eau Claire,4,93,869,228,152,42,78,294,121,483,151,255,2770
University of Wisconsin-Green Bay,51,55,328,37,39,16,17,129,41,614,52,16,1395
University of Wisconsin-La Crosse,9,46,539,158,339,50,27,244,99,324,40,40,1915
Wisconsin Lutheran College,0,5,70,14,37,2,4,51,12,30,10,4,239
University of Wisconsin-Oshkosh,37,57,542,155,77,19,24,409,120,484,37,67,2028
University of Wisconsin-Parkside,0,100,462,113,56,4,24,41,67,207,71,4,1149
Herzing University-Madison,0,37,112,0,0,0,0,0,0,2,0,0,151
University of Wisconsin-Stout,226,208,363,38,31,27,0,301,10,89,196,0,1489
University of Wisconsin-Superior,0,12,93,9,28,4,4,287,31,54,18,0,540
University of Wisconsin-Madison,1627,1225,3011,1789,1708,699,396,710,1038,2310,704,619,15836
University of Wisconsin-Milwaukee,345,346,1320,276,175,29,68,429,225,916,361,71,4561
University of Wisconsin-Platteville,602,35,330,26,50,12,13,94,0,136,21,4,1323
University of Wisconsin-River Falls,6,43,214,109,101,17,31,298,103,129,41,12,1104
University of Wisconsin-Stevens Point,33,25,235,106,112,22,22,340,48,216,104,47,1310
Central Wyoming College,33,0,47,11,0,2,0,16,12,25,11,0,157
Laramie County Community College,9,17,63,17,6,0,0,53,3,59,13,2,242
Northwest College,11,28,14,5,1,2,1,23,1,67,13,3,169
Western Wyoming Community College,5,33,74,3,2,2,0,19,8,53,16,0,215
University of Wyoming,270,61,483,193,231,44,105,380,72,320,73,51,2283
American Samoa Community College,7,0,25,8,0,0,0,25,0,58,4,0,127
Guam Community College,2,28,65,0,0,0,0,32,0,15,7,0,149
University of Guam,19,23,124,7,40,10,9,129,11,61,7,0,440
Northern Marianas College,0,0,106,0,0,0,0,19,0,108,0,0,233
American University of Puerto Rico,0,18,40,0,0,0,0,30,2,1,0,0,91
Universidad Adventista de las Antillas,0,4,13,0,10,0,0,25,0,15,0,0,67
Atlantic University College,0,146,0,0,0,0,0,0,0,0,40,0,186
Universidad Central de Bayamon,0,0,40,0,5,0,0,36,3,18,0,1,103
Albizu University-San Juan,0,0,0,0,0,0,0,0,0,374,0,0,374
Caribbean University-Bayamon,13,7,30,0,0,0,0,29,0,3,0,0,82
Caribbean University-Carolina,0,0,4,0,0,0,0,2,0,0,0,0,6
Pontifical Catholic University of Puerto Rico-Arecibo,0,0,12,9,42,0,0,4,0,39,0,0,106
Pontifical Catholic University of Puerto Rico-Ponce,0,8,90,47,219,1,12,48,34,190,33,9,691
Universidad Teologica del Caribe,0,0,0,0,0,0,0,0,0,0,0,0,0
Colegio Universitario de San Juan,9,12,24,0,0,0,0,0,0,0,0,0,45
Universidad Ana G. Mendez-Cupey Campus,1,47,494,0,39,0,7,108,17,53,0,0,766
Puerto Rico Conservatory of Music,0,0,0,0,0,0,0,5,0,0,65,0,70
EDP University of Puerto Rico Inc-San Sebastian,0,14,0,0,0,0,0,0,0,0,10,0,24
Escuela de Artes Plasticas y Diseno de Puerto Rico,0,0,0,0,0,0,0,0,0,0,54,0,54
Humacao Community College,0,5,16,0,3,0,0,0,0,0,0,0,24
Inter American University of Puerto Rico-San German,12,24,87,3,117,9,12,59,0,41,55,0,419
Inter American University of Puerto Rico-Aguadilla,4,54,98,0,81,0,0,16,0,27,21,0,301
Inter American University of Puerto Rico-Arecibo,0,25,82,0,63,0,3,98,0,22,0,0,293
Inter American University of Puerto Rico-Barranquitas,0,10,28,0,21,0,0,5,0,0,1,0,65
Inter American University of Puerto Rico-Metro,0,31,257,11,146,3,10,94,0,93,19,0,664
Inter American University of Puerto Rico-Ponce,0,32,191,0,53,0,0,44,15,61,0,4,400
Inter American University of Puerto Rico-Fajardo,0,13,51,0,54,0,0,14,0,10,13,0,155
Inter American University of Puerto Rico-Guayama,0,4,39,0,23,0,3,11,0,0,2,0,82
Inter American University of Puerto Rico-Bayamon,85,21,107,0,91,0,7,0,0,0,20,0,331
University of Puerto Rico-Aguadilla,58,0,135,0,131,0,0,15,0,0,0,0,339
University of Puerto Rico-Arecibo,67,17,91,3,108,0,0,25,0,38,0,0,349
University of Puerto Rico-Bayamon,38,25,137,0,101,0,0,73,0,0,0,0,374
University of Puerto Rico-Carolina,32,0,132,0,0,0,0,7,15,86,18,0,290
University of Puerto Rico-Cayey,0,0,80,13,86,3,28,42,0,99,0,2,353
University of Puerto Rico-Humacao,4,0,116,7,101,4,27,15,31,3,0,0,308
University of Puerto Rico-Utuado,0,0,22,4,0,0,0,5,0,2,0,0,33
University of Puerto Rico-Mayaguez,640,37,208,55,306,16,87,34,0,147,28,18,1576
University of Puerto Rico at Ponce,17,21,81,0,88,0,0,16,0,101,0,0,324
University of Puerto Rico-Rio Piedras,0,49,486,156,225,14,89,255,107,249,106,152,1888
Universidad Ana G. Mendez-Carolina Campus,5,70,315,0,38,0,0,47,8,71,6,0,560
Universidad del Sagrado Corazon,0,3,236,8,35,0,5,9,310,66,62,0,734
Universidad Central Del Caribe,0,0,0,0,4,0,0,0,0,0,0,0,4
Universidad Politecnica de Puerto Rico,482,51,44,2,0,0,0,0,0,0,8,0,587
Pontifical Catholic University of Puerto Rico-Mayaguez,0,6,49,13,13,0,0,13,7,16,4,0,121
Universidad Ana G. Mendez-Gurabo Campus,204,56,476,12,108,0,12,132,22,174,66,4,1266
College of Micronesia-FSM,11,14,62,0,0,0,0,81,0,46,0,0,214
University of the Virgin Islands,3,6,77,4,28,10,9,30,6,23,1,0,197
Stanford University,1268,656,608,435,245,268,243,134,66,319,85,69,4396
Purdue University-Main Campus,4272,1245,2367,524,632,393,281,776,445,673,152,90,11850
Parker University,0,5,13,0,129,0,0,0,0,3,0,0,150
EDP University of Puerto Rico Inc-San Juan,0,30,50,0,0,0,0,0,0,0,24,0,104
Bais Medrash Elyon,0,0,0,0,0,0,0,0,0,1,0,0,1
Mid-America Christian University,0,1,195,0,17,2,0,33,5,140,1,0,394
Landmark College,0,8,7,0,9,0,0,37,6,61,6,0,134
Yeshiva Gedolah of Greater Detroit,0,0,0,0,0,0,0,0,0,8,0,0,8
Collin County Community College District,345,1071,802,16,0,0,0,144,15,2955,273,24,5645
Lac Courte Oreilles Ojibwe University,0,0,15,0,0,0,0,4,0,7,0,2,28
University of Massachusetts Global,0,38,894,37,0,0,0,872,14,639,0,0,2494
New College of Florida,0,0,0,0,0,0,0,0,0,77,0,8,85
Montana Bible College,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeshivah Gedolah Rabbinical College,0,0,0,0,0,0,0,0,0,0,0,0,0
Caribbean University-Ponce,49,2,9,0,0,0,0,13,0,4,0,0,77
Caribbean University-Vega Baja,0,2,7,0,0,0,0,3,0,0,0,0,12
South Florida Bible College and Theological Seminary,0,0,19,0,0,0,0,0,0,9,0,0,28
Pennsylvania College of Technology,257,70,126,0,0,0,0,0,0,1,24,0,478
Stone Child College,0,1,4,0,0,0,0,8,0,2,1,0,16
California State University-San Marcos,32,153,591,725,290,30,23,200,204,650,84,26,3008
Hodges University,0,18,43,0,0,0,0,0,0,42,0,0,103
Yeshiva Gedolah Imrei Yosef D'spinka,0,0,0,0,0,0,0,0,0,0,0,0,0
Universal Technology College of Puerto Rico,19,0,0,0,0,0,0,0,0,0,0,0,19
College of the Marshall Islands,0,0,30,0,0,0,0,90,0,50,0,5,175
Remington College-Fort Worth Campus,0,1,0,0,0,0,0,0,0,0,5,0,6
University of Washington-Bothell Campus,169,373,447,68,104,50,29,102,112,190,12,0,1656
University of Washington-Tacoma Campus,24,403,376,81,100,14,0,73,63,284,0,4,1422
Bay Mills Community College,0,1,19,6,0,0,0,77,0,22,0,4,129
Fond du Lac Tribal and Community College,0,0,0,0,0,0,0,1,4,53,0,4,62
Northwest Indian College,0,0,22,0,0,0,0,8,0,66,0,0,96
Beacon College,0,33,20,0,0,0,0,0,0,12,3,0,68
Rabbi Jacob Joseph School,0,0,0,0,0,0,0,0,0,2,0,0,2
Everglades University,3,0,170,0,0,0,0,0,0,0,0,0,173
Herzing University-Orlando,0,1,15,0,0,0,0,0,0,0,0,0,16
College of Biblical Studies-Houston,0,0,2,0,0,0,0,0,0,0,0,0,2
Soka University of America,0,0,0,0,0,0,0,4,0,97,0,0,101
World Mission University,0,0,0,0,0,0,0,0,0,12,12,0,24
Yeshivas Novominsk,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabbinical College of Ohr Shimon Yisroel,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Bible College,0,0,0,0,0,0,0,0,0,0,0,0,0
South Texas College,300,439,739,25,146,39,6,320,17,1506,71,58,3666
California State University-Monterey Bay,0,191,394,89,122,27,0,67,56,489,84,54,1573
Remington College-Memphis Campus,1,0,1,0,0,0,0,0,0,0,0,0,2
College of Menominee Nation,1,0,8,0,0,0,0,10,0,1,0,0,20
Trine University-Regional/Non-Traditional Campuses,93,71,180,0,0,0,0,0,0,18,0,0,362
Southeast Missouri Hospital College of Nursing and Health Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0
Messenger College,0,0,0,0,0,0,0,0,0,9,0,0,9
New York College of Health Professions,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeshiva D'monsey Rabbinical College,0,0,0,0,0,0,0,0,0,12,0,0,12
Embry-Riddle Aeronautical University-Worldwide,320,4,1053,0,0,0,0,0,6,81,0,0,1464
San Juan Bautista School of Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeshiva of the Telshe Alumni,0,0,0,0,0,0,0,0,0,0,0,0,0
Carolinas College of Health Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Governors University,0,6023,10745,0,0,0,0,12454,0,0,0,0,29222
Herzing University-New Orleans,0,4,39,0,0,0,0,0,0,0,0,0,43
Florida Gulf Coast University,167,4,840,83,162,12,9,335,162,600,56,0,2430
Ilisagvik College,0,5,12,0,0,0,0,7,0,12,0,0,36
Dewey University-Carolina,0,5,13,0,0,0,0,10,0,0,0,0,28
Yeshiva College of the Nations Capital,0,0,0,0,0,0,0,0,0,0,0,0,0
International Baptist College and Seminary,0,0,2,0,0,0,0,4,0,0,0,0,6
Cascadia College,6,175,69,0,29,0,25,0,0,309,0,0,613
CBD College,0,0,0,0,0,0,0,0,0,0,0,0,0
The King's University,0,0,0,0,0,0,0,0,0,0,2,0,2
Pacific Islands University,0,0,0,0,0,0,0,0,0,10,0,0,10
New Saint Andrews College,0,0,0,0,0,0,0,4,0,42,0,0,46
Atenas College,0,0,0,0,0,0,0,0,0,0,0,0,0
Pillar College,0,0,8,0,0,0,0,3,0,116,0,0,127
Yeshiva Shaarei Torah of Rockland,0,0,0,0,0,0,0,0,0,10,0,0,10
Universidad Pentecostal Mizpa,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada State College,8,0,58,0,35,2,0,70,21,139,16,0,349
California State University-Channel Islands,10,98,256,189,126,42,26,92,103,583,65,21,1611
Franklin W Olin College of Engineering,72,0,0,0,0,0,0,0,0,0,0,0,72
Pennsylvania College of Health Sciences,0,0,0,0,1,0,0,0,0,0,0,0,1
University of Arkansas Grantham,189,168,668,0,0,0,0,0,13,7,0,0,1045
Faith International University,0,0,22,0,0,0,0,6,0,18,0,0,46
